arch,kv_heads,dtype,batch,seq,params_M,step_ms,tokens_s,peak_MB
MHA,8,fp32,1,512,68.631,43.3,11825.0,1447.3
MHA,8,fp32,4,512,68.631,68.5,29898.0,2469.1
MHA,8,fp32,8,512,68.631,121.9,33590.0,4024.3
MHA,8,bf16,1,512,68.631,37.6,13605.0,742.8
MHA,8,bf16,4,512,68.631,40.2,50984.0,1538.1
MHA,8,bf16,8,512,68.631,68.3,59996.0,2623.2
MHA,8,fp16,1,512,68.631,40.7,12571.0,742.8
MHA,8,fp16,4,512,68.631,42.4,48316.0,1538.1
MHA,8,fp16,8,512,68.631,62.5,65519.0,2622.6
GQA,4,fp32,1,512,63.912,46.2,11076.0,1356.9
GQA,4,fp32,4,512,63.912,65.7,31156.0,2368.9
GQA,4,fp32,8,512,63.912,116.1,35280.0,3865.9
GQA,4,bf16,1,512,63.912,43.9,11665.0,694.5
GQA,4,bf16,4,512,63.912,43.8,46779.0,1456.8
GQA,4,bf16,8,512,63.912,63.8,64229.0,2489.8
GQA,4,fp16,1,512,63.912,46.7,10956.0,694.5
GQA,4,fp16,4,512,63.912,44.7,45816.0,1456.8
GQA,4,fp16,8,512,63.912,58.6,69850.0,2489.8
MQA,1,fp32,1,512,60.373,43.0,11915.0,1277.9
MQA,1,fp32,4,512,60.373,61.6,33244.0,2190.4
MQA,1,fp32,8,512,60.373,106.4,38481.0,3575.7
MQA,1,bf16,1,512,60.373,43.9,11670.0,659.1
MQA,1,bf16,4,512,60.373,40.4,50736.0,1356.2
MQA,1,bf16,8,512,60.373,58.8,69701.0,2312.2
MQA,1,fp16,1,512,60.373,39.0,13118.0,659.1
MQA,1,fp16,4,512,60.373,41.5,49359.0,1356.2
MQA,1,fp16,8,512,60.373,54.1,75741.0,2312.2
