epoch,step,total_steps,loss,dpo_loss,lr
1,50,4292,0.6646,0.6646,0.00000004
1,100,4292,0.6978,0.6978,0.00000004
1,150,4292,0.5660,0.5660,0.00000004
1,200,4292,0.6798,0.6798,0.00000004
1,250,4292,0.6725,0.6725,0.00000004
1,300,4292,0.5209,0.5209,0.00000004
1,350,4292,0.7137,0.7137,0.00000004
1,400,4292,0.5254,0.5254,0.00000004
1,450,4292,0.6513,0.6513,0.00000004
1,500,4292,0.5531,0.5531,0.00000004
1,550,4292,0.6246,0.6246,0.00000004
1,600,4292,0.5687,0.5687,0.00000004
1,650,4292,0.5538,0.5538,0.00000004
1,700,4292,0.7280,0.7280,0.00000004
1,750,4292,0.6839,0.6839,0.00000004
1,800,4292,0.7450,0.7450,0.00000004
1,850,4292,0.6424,0.6424,0.00000004
1,900,4292,0.5777,0.5777,0.00000004
1,950,4292,0.6008,0.6008,0.00000004
1,1000,4292,0.4645,0.4645,0.00000004
1,1050,4292,0.6521,0.6521,0.00000003
1,1100,4292,0.6928,0.6928,0.00000003
1,1150,4292,0.6311,0.6311,0.00000003
1,1200,4292,0.5959,0.5959,0.00000003
1,1250,4292,0.5829,0.5829,0.00000003
1,1300,4292,0.4168,0.4168,0.00000003
1,1350,4292,0.6491,0.6491,0.00000003
1,1400,4292,0.9749,0.9749,0.00000003
1,1450,4292,0.7196,0.7196,0.00000003
1,1500,4292,0.7039,0.7039,0.00000003
1,1550,4292,0.5906,0.5906,0.00000003
1,1600,4292,0.6125,0.6125,0.00000003
1,1650,4292,0.5483,0.5483,0.00000003
1,1700,4292,0.6718,0.6718,0.00000003
1,1750,4292,0.6836,0.6836,0.00000003
1,1800,4292,0.5459,0.5459,0.00000003
1,1850,4292,0.7493,0.7493,0.00000003
1,1900,4292,0.6167,0.6167,0.00000003
1,1950,4292,0.6201,0.6201,0.00000002
1,2000,4292,0.7501,0.7501,0.00000002
1,2050,4292,0.7287,0.7287,0.00000002
1,2100,4292,0.6965,0.6965,0.00000002
1,2150,4292,0.7184,0.7184,0.00000002
1,2200,4292,0.4216,0.4216,0.00000002
1,2250,4292,0.5530,0.5530,0.00000002
1,2300,4292,0.7124,0.7124,0.00000002
1,2350,4292,0.5516,0.5516,0.00000002
1,2400,4292,0.5553,0.5553,0.00000002
1,2450,4292,0.6675,0.6675,0.00000002
1,2500,4292,0.7361,0.7361,0.00000002
1,2550,4292,0.5366,0.5366,0.00000002
1,2600,4292,0.7879,0.7879,0.00000002
1,2650,4292,0.6524,0.6524,0.00000002
1,2700,4292,0.5874,0.5874,0.00000001
1,2750,4292,0.3908,0.3908,0.00000001
1,2800,4292,0.5578,0.5578,0.00000001
1,2850,4292,0.6420,0.6420,0.00000001
1,2900,4292,0.8324,0.8324,0.00000001
1,2950,4292,0.5948,0.5948,0.00000001
1,3000,4292,0.7741,0.7741,0.00000001
1,3050,4292,0.5725,0.5725,0.00000001
1,3100,4292,0.6677,0.6677,0.00000001
1,3150,4292,0.5801,0.5801,0.00000001
1,3200,4292,0.6386,0.6386,0.00000001
1,3250,4292,0.5696,0.5696,0.00000001
1,3300,4292,0.7076,0.7076,0.00000001
1,3350,4292,0.8754,0.8754,0.00000001
1,3400,4292,0.6639,0.6639,0.00000001
1,3450,4292,0.5687,0.5687,0.00000001
1,3500,4292,0.4715,0.4715,0.00000001
1,3550,4292,0.8929,0.8929,0.00000001
1,3600,4292,0.5664,0.5664,0.00000001
1,3650,4292,0.5916,0.5916,0.00000001
1,3700,4292,0.5007,0.5007,0.00000001
1,3750,4292,0.6509,0.6509,0.00000001
1,3800,4292,0.6043,0.6043,0.00000001
1,3850,4292,0.5730,0.5730,0.00000000
1,3900,4292,0.4122,0.4122,0.00000000
1,3950,4292,0.8136,0.8136,0.00000000
1,4000,4292,0.6237,0.6237,0.00000000
1,4050,4292,0.6963,0.6963,0.00000000
1,4100,4292,0.6272,0.6272,0.00000000
1,4150,4292,0.5994,0.5994,0.00000000
1,4200,4292,0.7276,0.7276,0.00000000
1,4250,4292,0.4880,0.4880,0.00000000
1,4292,4292,0.4276,0.4276,0.00000000
