step,reward,kl,adv_std,adv_mean,actor_loss,resp_len,lr
5,0.2443,0.0028,0.7521,0.0,-0.0204,50.38,3e-07
10,0.2161,-0.0003,0.7548,-0.0,0.015,130.62,3e-07
15,0.25,-0.0019,0.0,0.0,0.0001,160.0,3e-07
20,0.4695,0.0003,1.0687,0.0,0.2142,177.25,3e-07
25,0.3043,0.0013,1.0634,-0.0,-0.1336,326.38,3e-07
30,0.2507,0.0001,1.0687,0.0,-0.0698,188.62,2.9e-07
35,0.4062,-0.0017,1.0689,0.0,0.0511,246.25,2.9e-07
40,0.3646,-0.0006,0.7525,0.0,0.0489,50.88,2.9e-07
45,0.4922,-0.0051,0.7557,-0.0,-0.0114,196.75,2.9e-07
50,0.1558,0.002,1.068,0.0,0.119,255.12,2.8e-07
55,0.0634,0.0008,0.7554,-0.0,0.1447,248.12,2.8e-07
60,0.225,-0.0024,0.7551,-0.0,0.0937,69.0,2.7e-07
65,0.6111,-0.0072,0.7558,0.0,-0.0312,243.75,2.7e-07
70,0.0955,-0.0005,1.0683,0.0,0.2392,215.0,2.7e-07
75,0.5604,-0.0043,1.0682,0.0,0.1373,149.62,2.6e-07
80,0.352,-0.0021,1.0689,0.0,0.218,232.25,2.6e-07
85,0.625,-0.0095,0.7558,0.0,-0.0326,150.25,2.5e-07
90,0.6958,-0.0035,1.0685,0.0,0.058,293.25,2.4e-07
95,0.1839,0.0001,1.0679,-0.0,0.2416,91.0,2.4e-07
100,0.3928,-0.0037,1.0689,0.0,0.1264,267.0,2.3e-07
105,0.117,-0.002,0.7556,0.0,0.1285,291.62,2.3e-07
110,0.7945,-0.0067,1.0666,0.0,0.0407,267.0,2.2e-07
115,0.7902,-0.0093,1.0689,0.0,0.0324,227.88,2.1e-07
120,0.0625,0.0013,1.0688,0.0,-0.0311,205.62,2.1e-07
125,0.2615,-0.0011,1.0684,0.0,0.1613,205.5,2e-07
130,0.875,-0.0097,0.7558,0.0,0.1909,122.12,1.9e-07
135,0.8408,-0.0093,1.0689,-0.0,0.0837,255.0,1.9e-07
140,0.154,-0.0023,0.7553,0.0,-0.0578,88.0,1.8e-07
145,0.375,-0.0027,0.0,0.0,0.0002,48.62,1.7e-07
150,0.75,-0.0048,1.0689,0.0,-0.018,207.0,1.6e-07
155,0.1238,0.0083,0.7555,-0.0,0.1235,170.62,1.6e-07
160,0.6434,-0.0028,1.0685,0.0,-0.036,307.0,1.5e-07
165,0.625,-0.0102,0.7558,0.0,0.0895,103.75,1.4e-07
170,0.4175,0.0023,0.7549,0.0,0.0789,191.38,1.4e-07
175,0.0948,-0.0102,1.0685,-0.0,0.171,218.5,1.3e-07
180,0.4375,-0.0053,0.7558,0.0,0.0207,168.62,1.2e-07
185,1.1875,-0.0113,1.0689,-0.0,-0.0263,240.25,1.2e-07
190,0.2237,-0.0003,1.0688,-0.0,0.0634,346.88,1.1e-07
195,0.6206,-0.0097,1.0687,-0.0,-0.0799,240.0,1e-07
200,0.4829,-0.0051,0.7558,-0.0,0.0022,204.88,1e-07
205,0.2881,0.0005,1.0681,0.0,0.1509,264.88,9e-08
210,0.5396,-0.0069,1.0687,0.0,0.0967,308.88,9e-08
215,0.2119,-0.0152,1.0673,0.0,0.0943,164.12,8e-08
220,-0.0064,-0.0019,1.0682,0.0,0.1684,292.62,7e-08
225,0.375,0.0047,0.0,0.0,0.0005,40.5,7e-08
230,0.133,-0.004,0.7556,0.0,0.1361,95.5,6e-08
235,0.4572,-0.0058,1.0687,0.0,0.0814,272.88,6e-08
240,0.4038,-0.0116,1.0687,0.0,0.1477,314.0,6e-08
245,0.27,-0.0013,1.0643,-0.0,-0.0823,349.5,5e-08
250,0.3243,-0.0108,1.0686,-0.0,0.0472,224.5,5e-08
255,0.1999,-0.0038,1.0689,-0.0,0.0513,228.25,4e-08
260,0.1233,-0.0025,1.0686,0.0,0.2476,285.88,4e-08
265,0.2046,0.0034,1.0681,0.0,0.0498,331.5,4e-08
270,0.0413,-0.0045,1.0684,-0.0,0.1515,256.88,4e-08
275,0.0484,-0.0087,1.0686,0.0,0.2092,294.25,3e-08
280,0.9349,-0.0126,1.0689,-0.0,0.0725,257.75,3e-08
285,1.4916,-0.0239,1.0687,-0.0,-0.0207,205.38,3e-08
290,0.1973,-0.0064,1.0685,0.0,0.1825,235.0,3e-08
295,0.2307,-0.0041,1.068,0.0,-0.0316,375.62,3e-08
300,0.1594,-0.0075,1.0678,0.0,0.0634,313.25,3e-08
