epoch,step,total_steps,loss,lr
1,50,625,2.4065,0.00009984
1,100,625,2.4336,0.00009937
1,150,625,2.3764,0.00009859
1,200,625,2.3396,0.00009750
1,250,625,2.6373,0.00009611
1,300,625,2.3215,0.00009443
1,350,625,2.2832,0.00009248
1,400,625,2.2123,0.00009027
1,450,625,2.2708,0.00008780
1,500,625,2.3120,0.00008511
1,550,625,2.2658,0.00008221
1,600,625,2.2305,0.00007911
1,625,625,2.2282,0.00007750
2,50,625,2.4672,0.00007416
2,100,625,2.5299,0.00007069
2,150,625,2.3602,0.00006710
2,200,625,2.2667,0.00006343
2,250,625,2.3591,0.00005970
2,300,625,2.1526,0.00005594
2,350,625,2.3298,0.00005217
2,400,625,2.4399,0.00004843
2,450,625,2.3627,0.00004472
2,500,625,2.1994,0.00004109
2,550,625,2.3416,0.00003756
2,600,625,2.3019,0.00003415
2,625,625,2.3079,0.00003250
3,50,625,2.2636,0.00002932
3,100,625,2.3574,0.00002632
3,150,625,2.3561,0.00002352
3,200,625,2.2633,0.00002094
3,250,625,2.3422,0.00001859
3,300,625,2.3933,0.00001651
3,350,625,2.4358,0.00001469
3,400,625,2.2857,0.00001316
3,450,625,2.5154,0.00001192
3,500,625,2.3336,0.00001098
3,550,625,2.5193,0.00001035
3,600,625,2.4345,0.00001004
3,625,625,2.5691,0.00001000
