epoch,step,total_steps,loss,lr
1,50,1250,3.9110,0.00000999
1,100,1250,3.6003,0.00000996
1,150,1250,3.4241,0.00000992
1,200,1250,3.6463,0.00000986
1,250,1250,3.5099,0.00000978
1,300,1250,3.4990,0.00000968
1,350,1250,3.5184,0.00000957
1,400,1250,3.4595,0.00000944
1,450,1250,3.2452,0.00000930
1,500,1250,3.6942,0.00000914
1,550,1250,3.3374,0.00000897
1,600,1250,3.3792,0.00000878
1,650,1250,3.2895,0.00000858
1,700,1250,3.3287,0.00000837
1,750,1250,3.2948,0.00000815
1,800,1250,3.1748,0.00000791
1,850,1250,3.2153,0.00000767
1,900,1250,3.4128,0.00000742
1,950,1250,3.5805,0.00000716
1,1000,1250,3.2586,0.00000689
1,1050,1250,3.4742,0.00000662
1,1100,1250,3.4442,0.00000634
1,1150,1250,3.5762,0.00000606
1,1200,1250,3.5652,0.00000578
1,1250,1250,3.2035,0.00000550
2,50,1250,3.2954,0.00000522
2,100,1250,3.2100,0.00000494
2,150,1250,3.3373,0.00000466
2,200,1250,3.4324,0.00000438
2,250,1250,3.1956,0.00000411
2,300,1250,3.2836,0.00000384
2,350,1250,3.2599,0.00000358
2,400,1250,2.9672,0.00000333
2,450,1250,3.2164,0.00000309
2,500,1250,3.3573,0.00000285
2,550,1250,3.2385,0.00000263
2,600,1250,3.1787,0.00000242
2,650,1250,3.3685,0.00000222
2,700,1250,3.1554,0.00000203
2,750,1250,3.2078,0.00000186
2,800,1250,3.4074,0.00000170
2,850,1250,3.2726,0.00000156
2,900,1250,3.3605,0.00000143
2,950,1250,3.3427,0.00000132
2,1000,1250,3.2274,0.00000122
2,1050,1250,3.2000,0.00000114
2,1100,1250,3.3491,0.00000108
2,1150,1250,3.5941,0.00000104
2,1200,1250,3.2730,0.00000101
2,1250,1250,3.1707,0.00000100
