epoch,step,total_steps,loss,lr
1,100,4688,7.3084,0.00049987
1,200,4688,7.1157,0.00049949
1,300,4688,6.7853,0.00049886
1,400,4688,6.5931,0.00049798
1,500,4688,6.4365,0.00049685
1,600,4688,6.0847,0.00049547
1,700,4688,5.8088,0.00049384
1,800,4688,5.5990,0.00049196
1,900,4688,5.5053,0.00048985
1,1000,4688,4.9166,0.00048749
1,1100,4688,4.9923,0.00048489
1,1200,4688,4.6195,0.00048206
1,1300,4688,4.4202,0.00047899
1,1400,4688,4.4193,0.00047570
1,1500,4688,4.3752,0.00047217
1,1600,4688,4.0511,0.00046843
1,1700,4688,4.0488,0.00046447
1,1800,4688,4.0834,0.00046030
1,1900,4688,3.9468,0.00045592
1,2000,4688,3.7377,0.00045134
1,2100,4688,3.7400,0.00044656
1,2200,4688,3.5318,0.00044159
1,2300,4688,3.5666,0.00043643
1,2400,4688,3.5632,0.00043109
1,2500,4688,3.4223,0.00042557
1,2600,4688,3.2699,0.00041988
1,2700,4688,3.5239,0.00041404
1,2800,4688,3.1597,0.00040803
1,2900,4688,3.2434,0.00040188
1,3000,4688,3.3598,0.00039558
1,3100,4688,3.2720,0.00038915
1,3200,4688,3.2522,0.00038259
1,3300,4688,3.4747,0.00037591
1,3400,4688,3.1117,0.00036912
1,3500,4688,3.2638,0.00036222
1,3600,4688,2.8492,0.00035522
1,3700,4688,3.1296,0.00034813
1,3800,4688,2.8989,0.00034096
1,3900,4688,3.0394,0.00033372
1,4000,4688,2.8417,0.00032641
1,4100,4688,3.0512,0.00031904
1,4200,4688,2.7997,0.00031163
1,4300,4688,2.8948,0.00030417
1,4400,4688,3.0914,0.00029668
1,4500,4688,2.9977,0.00028916
1,4600,4688,2.9915,0.00028163
1,4688,4688,2.8222,0.00027500
2,100,4688,2.8479,0.00026746
2,200,4688,2.8220,0.00025993
2,300,4688,2.6548,0.00025242
2,400,4688,2.3154,0.00024493
2,500,4688,2.7528,0.00023748
2,600,4688,2.8175,0.00023007
2,700,4688,2.6961,0.00022271
2,800,4688,2.7339,0.00021541
2,900,4688,2.7044,0.00020817
2,1000,4688,2.9364,0.00020101
2,1100,4688,2.5715,0.00019394
2,1200,4688,2.4450,0.00018695
2,1300,4688,2.6451,0.00018006
2,1400,4688,2.5021,0.00017328
2,1500,4688,2.8132,0.00016662
2,1600,4688,2.6840,0.00016007
2,1700,4688,2.6075,0.00015366
2,1800,4688,2.4982,0.00014738
2,1900,4688,2.4962,0.00014124
2,2000,4688,2.5954,0.00013525
2,2100,4688,2.4899,0.00012943
2,2200,4688,2.4277,0.00012376
2,2300,4688,2.5434,0.00011826
2,2400,4688,2.5927,0.00011294
2,2500,4688,2.6642,0.00010781
2,2600,4688,2.4849,0.00010286
2,2700,4688,2.4770,0.00009810
2,2800,4688,2.5263,0.00009354
2,2900,4688,2.7562,0.00008919
2,3000,4688,2.3807,0.00008504
2,3100,4688,2.4548,0.00008111
2,3200,4688,2.6521,0.00007739
2,3300,4688,2.5039,0.00007390
2,3400,4688,2.4780,0.00007063
2,3500,4688,2.4651,0.00006759
2,3600,4688,2.5177,0.00006479
2,3700,4688,2.5757,0.00006222
2,3800,4688,2.5114,0.00005989
2,3900,4688,2.4285,0.00005780
2,4000,4688,2.5958,0.00005595
2,4100,4688,2.4880,0.00005435
2,4200,4688,2.4134,0.00005300
2,4300,4688,2.5522,0.00005190
2,4400,4688,2.4960,0.00005105
2,4500,4688,2.5096,0.00005045
2,4600,4688,2.5320,0.00005010
2,4688,4688,2.5271,0.00005000
