epoch,step,total_steps,loss,lr
1,100,3125,2.8209,0.00000999
1,200,3125,2.6260,0.00000998
1,300,3125,2.6600,0.00000995
1,400,3125,2.5490,0.00000991
1,500,3125,2.4287,0.00000986
1,600,3125,2.4640,0.00000980
1,700,3125,2.5435,0.00000972
1,800,3125,2.3434,0.00000964
1,900,3125,2.5983,0.00000955
1,1000,3125,2.5544,0.00000944
1,1100,3125,2.4014,0.00000933
1,1200,3125,2.7073,0.00000921
1,1300,3125,2.4625,0.00000907
1,1400,3125,2.6472,0.00000893
1,1500,3125,2.5068,0.00000878
1,1600,3125,2.2785,0.00000862
1,1700,3125,2.3334,0.00000845
1,1800,3125,2.4722,0.00000828
1,1900,3125,2.4944,0.00000810
1,2000,3125,2.6513,0.00000791
1,2100,3125,2.3815,0.00000772
1,2200,3125,2.5139,0.00000752
1,2300,3125,2.3274,0.00000731
1,2400,3125,2.5018,0.00000710
1,2500,3125,2.4936,0.00000689
1,2600,3125,2.1020,0.00000667
1,2700,3125,2.3715,0.00000645
1,2800,3125,2.4653,0.00000623
1,2900,3125,2.4806,0.00000601
1,3000,3125,2.4671,0.00000578
1,3100,3125,2.3340,0.00000556
1,3125,3125,2.3318,0.00000550
2,100,3125,2.3502,0.00000527
2,200,3125,2.3397,0.00000505
2,300,3125,2.3348,0.00000482
2,400,3125,2.5132,0.00000460
2,500,3125,2.3600,0.00000438
2,600,3125,2.2212,0.00000416
2,700,3125,2.2460,0.00000395
2,800,3125,2.3539,0.00000374
2,900,3125,2.3466,0.00000353
2,1000,3125,2.3173,0.00000333
2,1100,3125,2.3584,0.00000314
2,1200,3125,2.4118,0.00000295
2,1300,3125,2.3597,0.00000276
2,1400,3125,2.2623,0.00000259
2,1500,3125,2.3106,0.00000242
2,1600,3125,2.1863,0.00000226
2,1700,3125,2.2583,0.00000211
2,1800,3125,2.3443,0.00000196
2,1900,3125,2.3557,0.00000183
2,2000,3125,2.4697,0.00000170
2,2100,3125,2.1535,0.00000158
2,2200,3125,2.4580,0.00000148
2,2300,3125,2.1984,0.00000138
2,2400,3125,2.4769,0.00000130
2,2500,3125,2.3748,0.00000122
2,2600,3125,2.1563,0.00000116
2,2700,3125,2.2415,0.00000110
2,2800,3125,2.4560,0.00000106
2,2900,3125,2.4212,0.00000103
2,3000,3125,2.3635,0.00000101
2,3100,3125,2.2592,0.00000100
2,3125,3125,2.2106,0.00000100
